Date,Home Team,Away Team,Period,Clock,Home Team Skaters,Away Team Skaters,Home Team Goals,Away Team Goals,Team,Player,Event,X Coordinate,Y Coordinate,Detail 1,Detail 2,Detail 3,Detail 4,Player 2,X Coordinate 2,Y Coordinate 2,isin_ozone_for_home_team,isin_ozone_for_away_team,zone_entry_success,Position,is_forward,Entry_Type,Game,Dumped,Played,Carried,Y_coordinate_centered,us_powerplay,canada_powerplay
2023-11-08,Women - United States,Women - Canada,2,11:58,5,5,1,0,Women - Canada,Blayre Turnbull,Zone Entry,125,20,Carried,,,,Natalie Buchbinder,,,False,True,True,F,True,Carried,2023-11-08,False,False,True,-22.5,0,0
2023-11-08,Women - United States,Women - Canada,2,11:03,5,5,1,0,Women - United States,Tessa Janecke,Zone Entry,124,9,Carried,,,,Renata Fast,,,True,False,False,F,True,Carried,2023-11-08,False,False,True,-33.5,0,0
2023-11-08,Women - United States,Women - Canada,2,10:52,5,5,1,0,Women - Canada,Sarah Nurse,Zone Entry,125,53,Carried,,,,Cayla Barnes,,,False,True,True,F,True,Carried,2023-11-08,False,False,True,10.5,0,0
2023-11-08,Women - United States,Women - Canada,2,10:30,5,5,1,0,Women - United States,Alex Carpenter,Zone Entry,124,55,Carried,,,,Ashton Bell,,,True,False,False,F,True,Carried,2023-11-08,False,False,True,12.5,0,0
2023-11-08,Women - United States,Women - Canada,2,10:06,5,5,1,0,Women - United States,Haley Winn,Zone Entry,124,51,Played,,,,Jamie Bourbonnais,,,True,False,True,D,False,Played,2023-11-08,False,True,False,8.5,0,0
2023-11-08,Women - United States,Women - Canada,2,9:37,5,5,1,0,Women - United States,Haley Winn,Zone Entry,124,83,Dumped,,,,Ella Shelton,,,True,False,False,D,False,Dumped,2023-11-08,True,False,False,40.5,0,0
2023-11-08,Women - United States,Women - Canada,2,9:18,5,5,1,0,Women - Canada,Emma Maltais,Zone Entry,126,3,Dumped,,,,Haley Winn,,,False,True,False,F,True,Dumped,2023-11-08,True,False,False,-39.5,0,0
2023-11-08,Women - United States,Women - Canada,2,9:08,5,5,1,0,Women - United States,Lacey Eden,Zone Entry,125,77,Dumped,,,,Ella Shelton,,,True,False,False,F,True,Dumped,2023-11-08,True,False,False,34.5,0,0
2023-11-08,Women - United States,Women - Canada,2,8:41,5,5,1,0,Women - Canada,Jamie Lee Rattray,Zone Entry,125,81,Carried,,,,Savannah Harmon,,,False,True,True,F,True,Carried,2023-11-08,False,False,True,38.5,0,0
2023-11-08,Women - United States,Women - Canada,2,8:01,5,5,1,0,Women - Canada,Jamie Lee Rattray,Zone Entry,124,9,Carried,,,,Natalie Buchbinder,,,False,True,False,F,True,Carried,2023-11-08,False,False,True,-33.5,0,0
2023-11-08,Women - United States,Women - Canada,2,7:49,5,5,1,0,Women - Canada,Ella Shelton,Zone Entry,126,27,Dumped,,,,Natalie Buchbinder,,,False,True,False,D,False,Dumped,2023-11-08,True,False,False,-15.5,0,0
2023-11-08,Women - United States,Women - Canada,2,7:22,5,5,1,0,Women - Canada,Sarah Nurse,Zone Entry,126,2,Carried,,,,Savannah Harmon,,,False,True,True,F,True,Carried,2023-11-08,False,False,True,-40.5,0,0
2023-11-08,Women - United States,Women - Canada,2,7:16,5,5,1,1,Women - United States,Hilary Knight,Zone Entry,124,31,Dumped,,,,Renata Fast,,,True,False,False,F,True,Dumped,2023-11-08,True,False,False,-11.5,0,0
2023-11-08,Women - United States,Women - Canada,2,7:00,5,5,1,1,Women - Canada,Emily Clark,Zone Entry,125,4,Dumped,,,,Cayla Barnes,,,False,True,False,F,True,Dumped,2023-11-08,True,False,False,-38.5,0,0
2023-11-08,Women - United States,Women - Canada,2,6:49,5,5,1,1,Women - United States,Hilary Knight,Zone Entry,125,3,Carried,,,,Renata Fast,,,True,False,False,F,True,Carried,2023-11-08,False,False,True,-39.5,0,0
2023-11-08,Women - United States,Women - Canada,2,6:37,5,5,1,1,Women - United States,Hilary Knight,Zone Entry,125,60,Dumped,,,,Jocelyne Larocque,,,True,False,False,F,True,Dumped,2023-11-08,True,False,False,17.5,0,0
2023-11-08,Women - United States,Women - Canada,2,6:23,5,5,1,1,Women - United States,Abbey Murphy,Zone Entry,124,2,Played,,,,Renata Fast,,,True,False,True,F,True,Played,2023-11-08,False,True,False,-40.5,0,0
2023-11-08,Women - United States,Women - Canada,2,5:58,5,5,1,1,Women - United States,Megan Keller,Zone Entry,124,2,Dumped,,,,Renata Fast,,,True,False,False,D,False,Dumped,2023-11-08,True,False,False,-40.5,0,0
2023-11-08,Women - United States,Women - Canada,2,4:57,5,5,1,1,Women - United States,Savannah Harmon,Zone Entry,124,2,Dumped,,,,Renata Fast,,,True,False,False,D,False,Dumped,2023-11-08,True,False,False,-40.5,0,0
2023-11-08,Women - United States,Women - Canada,2,4:42,5,5,1,1,Women - Canada,Marie-Philip Poulin,Zone Entry,125,4,Carried,,,,Natalie Buchbinder,,,False,True,False,F,True,Carried,2023-11-08,False,False,True,-38.5,0,0
2023-11-08,Women - United States,Women - Canada,2,4:06,4,5,1,1,Women - Canada,Ella Shelton,Zone Entry,125,80,Carried,,,,Megan Keller,,,False,True,True,D,False,Carried,2023-11-08,False,False,True,37.5,0,1
2023-11-08,Women - United States,Women - Canada,2,3:21,4,4,1,1,Women - Canada,Marie-Philip Poulin,Zone Entry,125,6,Carried,,,,Megan Keller,,,False,True,True,F,True,Carried,2023-11-08,False,False,True,-36.5,0,0
2023-11-08,Women - United States,Women - Canada,2,1:51,5,4,1,1,Women - United States,Taylor Heise,Zone Entry,124,72,Carried,,,,Jocelyne Larocque,,,True,False,True,F,True,Carried,2023-11-08,False,False,True,29.5,1,0
2023-11-08,Women - United States,Women - Canada,2,1:08,5,5,1,1,Women - Canada,Sarah Fillier,Zone Entry,126,84,Dumped,,,,Rory Guilday,,,False,True,False,F,True,Dumped,2023-11-08,True,False,False,41.5,0,0
2023-11-08,Women - United States,Women - Canada,2,0:57,5,5,1,1,Women - Canada,Sarah Fillier,Zone Entry,125,75,Carried,,,,Rory Guilday,,,False,True,False,F,True,Carried,2023-11-08,False,False,True,32.5,0,0
2023-11-08,Women - United States,Women - Canada,2,0:39,5,5,1,1,Women - United States,Abby Roque,Zone Entry,125,21,Played,,,,Erin Ambrose,,,True,False,False,F,True,Played,2023-11-08,False,True,False,-21.5,0,0
2023-11-08,Women - United States,Women - Canada,2,0:13,5,5,1,1,Women - Canada,Blayre Turnbull,Zone Entry,125,7,Dumped,,,,Savannah Harmon,,,False,True,False,F,True,Dumped,2023-11-08,True,False,False,-35.5,0,0
2023-11-08,Women - United States,Women - Canada,3,19:26,5,5,1,1,Women - United States,Cayla Barnes,Zone Entry,125,84,Dumped,,,,Ella Shelton,,,True,False,False,D,False,Dumped,2023-11-08,True,False,False,41.5,0,0
2023-11-08,Women - United States,Women - Canada,3,18:27,5,5,1,1,Women - Canada,Sarah Nurse,Zone Entry,125,81,Dumped,,,,Rory Guilday,,,False,True,False,F,True,Dumped,2023-11-08,True,False,False,38.5,0,0
2023-11-08,Women - United States,Women - Canada,3,18:10,5,5,1,1,Women - Canada,Laura Stacey,Zone Entry,125,82,Dumped,,,,Savannah Harmon,,,False,True,True,F,True,Dumped,2023-11-08,True,False,False,39.5,0,0
2023-11-08,Women - United States,Women - Canada,3,17:31,5,5,1,1,Women - United States,Hayley Scamurra,Zone Entry,125,20,Dumped,,,,Ashton Bell,,,True,False,False,F,True,Dumped,2023-11-08,True,False,False,-22.5,0,0
2023-11-08,Women - United States,Women - Canada,3,17:02,5,5,1,1,Women - United States,Hilary Knight,Zone Entry,125,5,Played,,,,Jocelyne Larocque,,,True,False,True,F,True,Played,2023-11-08,False,True,False,-37.5,0,0
2023-11-08,Women - United States,Women - Canada,3,16:30,5,5,2,1,Women - United States,Gabbie Hughes,Zone Entry,125,1,Dumped,,,,Renata Fast,,,True,False,False,F,True,Dumped,2023-11-08,True,False,False,-41.5,0,0
2023-11-08,Women - United States,Women - Canada,3,16:18,5,5,2,1,Women - Canada,Marie-Philip Poulin,Zone Entry,124,81,Carried,,,,Savannah Harmon,,,False,True,False,F,True,Carried,2023-11-08,False,False,True,38.5,0,0
2023-11-08,Women - United States,Women - Canada,3,16:05,5,5,2,1,Women - United States,Megan Keller,Zone Entry,125,2,Dumped,,,,Renata Fast,,,True,False,False,D,False,Dumped,2023-11-08,True,False,False,-40.5,0,0
2023-11-08,Women - United States,Women - Canada,3,15:54,5,5,2,1,Women - Canada,Emma Maltais,Zone Entry,125,59,Carried,,,,Megan Keller,,,False,True,True,F,True,Carried,2023-11-08,False,False,True,16.5,0,0
2023-11-08,Women - United States,Women - Canada,3,15:38,5,5,2,1,Women - United States,Lacey Eden,Zone Entry,126,3,Dumped,,,,Jamie Bourbonnais,,,True,False,False,F,True,Dumped,2023-11-08,True,False,False,-39.5,0,0
2023-11-08,Women - United States,Women - Canada,3,15:19,5,5,2,1,Women - Canada,Jessica DiGirolamo,Zone Entry,125,4,Carried,,,,Haley Winn,,,False,True,False,D,False,Carried,2023-11-08,False,False,True,-38.5,0,0
2023-11-08,Women - United States,Women - Canada,3,14:59,5,5,2,1,Women - Canada,Kristin O'Neill,Zone Entry,125,27,Carried,,,,Haley Winn,,,False,True,True,F,True,Carried,2023-11-08,False,False,True,-15.5,0,0
2023-11-08,Women - United States,Women - Canada,3,14:41,5,5,2,1,Women - Canada,Laura Stacey,Zone Entry,124,82,Dumped,,,,Cayla Barnes,,,False,True,False,F,True,Dumped,2023-11-08,True,False,False,39.5,0,0
2023-11-08,Women - United States,Women - Canada,3,13:48,5,5,2,1,Women - United States,Taylor Heise,Zone Entry,125,60,Carried,,,,Jocelyne Larocque,,,True,False,True,F,True,Carried,2023-11-08,False,False,True,17.5,0,0
2023-11-08,Women - United States,Women - Canada,3,13:08,5,4,2,1,Women - United States,Haley Winn,Zone Entry,126,83,Carried,,,,Jocelyne Larocque,,,True,False,False,D,False,Carried,2023-11-08,False,False,True,40.5,1,0
2023-11-08,Women - United States,Women - Canada,3,12:40,5,4,2,1,Women - United States,Abbey Murphy,Zone Entry,126,3,Carried,,,,Erin Ambrose,,,True,False,False,F,True,Carried,2023-11-08,False,False,True,-39.5,1,0
2023-11-08,Women - United States,Women - Canada,3,12:21,5,4,2,1,Women - United States,Abby Roque,Zone Entry,126,21,Carried,,,,Erin Ambrose,,,True,False,True,F,True,Carried,2023-11-08,False,False,True,-21.5,1,0
2023-11-08,Women - United States,Women - Canada,3,11:58,5,4,2,1,Women - United States,Alex Carpenter,Zone Entry,126,39,Played,,,,Erin Ambrose,,,True,False,False,F,True,Played,2023-11-08,False,True,False,-3.5,1,0
2023-11-08,Women - United States,Women - Canada,3,11:41,5,4,2,1,Women - United States,Abby Roque,Zone Entry,125,3,Carried,,,,Jamie Bourbonnais,,,True,False,False,F,True,Carried,2023-11-08,False,False,True,-39.5,1,0
2023-11-08,Women - United States,Women - Canada,3,11:29,5,5,2,1,Women - Canada,Brianne Jenner,Zone Entry,125,71,Carried,,,,Megan Keller,,,False,True,True,F,True,Carried,2023-11-08,False,False,True,28.5,0,0
2023-11-08,Women - United States,Women - Canada,3,11:12,5,5,2,1,Women - Canada,Erin Ambrose,Zone Entry,124,79,Dumped,,,,Megan Keller,,,False,True,False,D,False,Dumped,2023-11-08,True,False,False,36.5,0,0
2023-11-08,Women - United States,Women - Canada,3,11:02,5,5,2,1,Women - United States,Hayley Scamurra,Zone Entry,125,40,Carried,,,,Erin Ambrose,,,True,False,False,F,True,Carried,2023-11-08,False,False,True,-2.5,0,0
2023-11-08,Women - United States,Women - Canada,3,10:27,5,5,2,1,Women - Canada,Jessie Eldridge,Zone Entry,125,72,Dumped,,,,Savannah Harmon,,,False,True,False,F,True,Dumped,2023-11-08,True,False,False,29.5,0,0
2023-11-08,Women - United States,Women - Canada,3,10:17,5,5,2,1,Women - United States,Taylor Heise,Zone Entry,125,64,Carried,,,,Jocelyne Larocque,,,True,False,False,F,True,Carried,2023-11-08,False,False,True,21.5,0,0
2023-11-08,Women - United States,Women - Canada,3,10:00,5,5,2,1,Women - Canada,Laura Stacey,Zone Entry,125,19,Carried,,,,Cayla Barnes,,,False,True,False,F,True,Carried,2023-11-08,False,False,True,-23.5,0,0
2023-11-08,Women - United States,Women - Canada,3,9:30,5,5,2,1,Women - Canada,Erin Ambrose,Zone Entry,125,1,Dumped,,,,Rory Guilday,,,False,True,False,D,False,Dumped,2023-11-08,True,False,False,-41.5,0,0
2023-11-08,Women - United States,Women - Canada,3,9:05,5,5,2,1,Women - United States,Tessa Janecke,Zone Entry,126,71,Carried,,,,Jocelyne Larocque,,,True,False,False,F,True,Carried,2023-11-08,False,False,True,28.5,0,0
2023-11-08,Women - United States,Women - Canada,3,8:59,5,5,2,1,Women - United States,Megan Keller,Zone Entry,125,6,Played,,,,Renata Fast,,,True,False,False,D,False,Played,2023-11-08,False,True,False,-36.5,0,0
2023-11-08,Women - United States,Women - Canada,3,8:45,5,5,2,1,Women - United States,Alex Carpenter,Zone Entry,126,67,Carried,,,,Jocelyne Larocque,,,True,False,True,F,True,Carried,2023-11-08,False,False,True,24.5,0,0
2023-11-08,Women - United States,Women - Canada,3,8:33,5,5,2,1,Women - United States,Haley Winn,Zone Entry,125,1,Dumped,,,,Renata Fast,,,True,False,False,D,False,Dumped,2023-11-08,True,False,False,-41.5,0,0
2023-11-08,Women - United States,Women - Canada,3,8:21,5,5,2,1,Women - United States,Haley Winn,Zone Entry,126,2,Played,,,,Jamie Bourbonnais,,,True,False,False,D,False,Played,2023-11-08,False,True,False,-40.5,0,0
2023-11-08,Women - United States,Women - Canada,3,8:01,5,5,2,1,Women - Canada,Ashton Bell,Zone Entry,124,10,Dumped,,,,Cayla Barnes,,,False,True,False,D,False,Dumped,2023-11-08,True,False,False,-32.5,0,0
2023-11-08,Women - United States,Women - Canada,3,7:55,5,5,2,1,Women - United States,Taylor Heise,Zone Entry,126,2,Dumped,,,,Erin Ambrose,,,True,False,True,F,True,Dumped,2023-11-08,True,False,False,-40.5,0,0
2023-11-08,Women - United States,Women - Canada,3,7:22,5,5,2,1,Women - United States,Abbey Murphy,Zone Entry,125,84,Dumped,,,,Jessica DiGirolamo,,,True,False,False,F,True,Dumped,2023-11-08,True,False,False,41.5,0,0
2023-11-08,Women - United States,Women - Canada,3,6:36,5,5,2,1,Women - Canada,Sarah Nurse,Zone Entry,124,46,Carried,,,,Megan Keller,,,False,True,True,F,True,Carried,2023-11-08,False,False,True,3.5,0,0
